userProfile;evalProfile;alpha;hellinger
Slice and Drill;Goal Oriented;0.2;0.037726884799954286
Slice and Drill;Goal Oriented;0.3;0.05746322399399547
Slice and Drill;Goal Oriented;0.4;0.07692456290403717
Slice and Drill;Goal Oriented;0.5;0.10434856892598442
Slice and Drill;Goal Oriented;0.6;0.12097006372007421
Slice and Drill;Goal Oriented;0.7;0.15296102848967705
Slice and Drill;Goal Oriented;0.8;0.19133524937008817
Slice and Drill;Goal Oriented;0.9;0.21185661313031526
Slice and Drill;Slice All;0.1;0.02106397150757943
Slice and Drill;Slice All;0.2;0.03997871189055039
Slice and Drill;Slice All;0.3;0.05585927299035276
Slice and Drill;Slice All;0.4;0.07680926493157955
Slice and Drill;Slice All;0.5;0.10160231188715095
Slice and Drill;Slice All;0.6;0.12852434894333345
Slice and Drill;Slice All;0.7;0.15046169929955677
Slice and Drill;Slice All;0.8;0.18432294100854266
Slice and Drill;Slice All;0.9;0.21054797455747623
Goal Oriented;Explorative;0.1;0.016682784214358724
Goal Oriented;Explorative;0.2;0.02891108381466925
Goal Oriented;Explorative;0.3;0.04568011892032749
Goal Oriented;Explorative;0.4;0.04975114096991144
Goal Oriented;Explorative;0.5;0.07142300832736465
Goal Oriented;Explorative;0.6;0.0932984976466861
Goal Oriented;Explorative;0.7;0.11207322224763683
Goal Oriented;Explorative;0.8;0.1316086658540728
Goal Oriented;Explorative;0.9;0.18148860759303354
Goal Oriented;Slice and Drill;0.1;0.018137011172844515
Goal Oriented;Slice and Drill;0.2;0.024913639625873188
Goal Oriented;Slice and Drill;0.3;0.04192126277259553
Goal Oriented;Slice and Drill;0.4;0.05101531988592752
Goal Oriented;Slice and Drill;0.5;0.06946237908148636
Goal Oriented;Slice and Drill;0.6;0.08911727739331435
Goal Oriented;Slice and Drill;0.7;0.11722310352033445
Goal Oriented;Slice and Drill;0.8;0.12617173293287962
Goal Oriented;Slice and Drill;0.9;0.17403508494785172
Goal Oriented;Goal Oriented;0.1;0.017195267501737926
Goal Oriented;Goal Oriented;0.2;0.02823814352374203
Goal Oriented;Goal Oriented;0.3;0.03787771256570658
Goal Oriented;Goal Oriented;0.4;0.05373535631663115
Goal Oriented;Goal Oriented;0.5;0.07559447685366219
Goal Oriented;Goal Oriented;0.6;0.09805453769347368
Goal Oriented;Goal Oriented;0.7;0.1214318351290717
