querry_id,total_operators,distinct_operators,ascii_len,part_number
102439,62,8,464,24
43641,36,8,370,25
19796,10,5,180,24
69895,168,8,464,25
70646,14,5,253,24
104630,40,8,464,25
134445,16,7,298,25
53073,24,6,332,33
55493,12,5,241,31
117926,58,7,2012,29
83700,44,9,509,26
960,30,8,245,24
100267,38,6,340,24
102687,36,9,350,24
106805,162,7,930,28
110061,16,5,338,25
65294,62,8,816,28
177187,60,7,1140,26
179121,224,6,1501,29
68575,18,6,1289,29
66155,58,9,746,28
87095,28,6,432,24
68338,30,8,284,24
134212,16,7,241,24
133124,28,7,439,33
134698,16,6,463,27
29326,10,4,296,26
125782,136,9,5242,32
28238,16,5,377,24
60848,30,8,257,24
38281,12,5,317,20
85905,16,6,275,24
61936,52,7,12162,34
58537,52,6,341,25
53087,12,5,332,33
973,30,8,245,24
736,14,5,210,24
5997,22,6,397,24
66394,10,5,204,24
19768,34,9,292,24
103503,44,6,682,26
18201,68,7,411,25
132287,60,7,1077,23
68101,18,6,332,24
21850,52,8,1437,34
38035,84,7,236,35
134465,16,7,298,25
42539,34,8,370,25
40598,52,8,587,26
135319,24,8,460,26
60866,36,8,430,25
82878,22,6,428,27
122013,16,5,283,19
3589,264,7,12193,35
985,14,5,210,24
28486,16,6,388,24
134230,16,7,241,24
7944,16,5,305,24
30798,42,7,457,27
73928,32,8,494,27
65073,58,9,746,28
27150,46,6,4196,33
179345,174,8,930,28
266515,54,7,940,28
266757,116,7,603,26
64795,128,9,589,25
66974,62,9,310,24
106841,38,7,520,27
19187,66,6,404,25
128631,14,5,257,33
73268,40,7,426,26
74598,32,8,615,27
122097,16,5,283,19
18095,72,7,502,25
23201,14,6,251,24
23443,128,9,790,27
32160,24,7,617,26
26710,28,7,460,25
73023,14,6,636,30
22116,52,8,1437,34
27802,14,6,275,25
1180,24,5,260,24
86349,8,4,251,24
50396,40,10,1117,30
61047,86,9,388,25
104414,12,5,258,25
102476,54,9,429,24
37853,16,5,287,19
105985,66,7,8298,34
7714,28,8,307,24
91921,36,7,639,27
134082,8,3,226,24
103327,16,6,283,25
54759,20,6,620,33
4462,90,9,2680,28
62145,42,9,1182,30
102013,54,9,429,24
64565,52,9,445,25
103585,14,5,281,26
65657,76,9,771,28
74366,34,9,266,24
23453,18,6,352,24
68923,6,3,244,24
73034,20,7,329,25
75210,34,8,1042,30
71096,34,6,409,25
274371,120,7,472,24
175606,20,5,734,26
272188,32,6,574,24
126677,96,8,2908,32
86574,12,5,214,24
105754,66,7,8298,34
135182,36,9,452,26
104429,12,5,200,24
4218,90,9,2623,28
107937,16,5,281,24
63481,22,7,3682,32
102460,98,10,589,24
66990,18,6,325,24
63241,22,7,3682,32
41096,16,4,290,24
64330,56,8,623,26
103550,28,5,603,26
6412,14,4,256,24
67845,18,6,332,24
74134,10,5,244,25
75465,46,9,1028,30
73284,20,6,441,26
74131,28,7,510,27
