;qid;NoC;AggDepth;IterDistance;CpQ;IsRelax;FilterDepth;NoAgg;IterCommonMeasures;NoQ;IterCommonFilters;NoF;NoM;IVA;QF;IterRecall;ElapsedTime;ExecTime;RNI;CD;IterPrecision;IterCommonAgg;RQP;ConsTime;IterIdentity;IsRefine;salimLabel
606;dibstudent16--2016-10-04--22-55.log-20;1172;0.0714285714285714;4;3;0.0;0;2;2;21;0;0;2;0;0.0278352893146952;0;754.438;5.391;0.100697418005719;0;0;1;0.428571428571429;63.968;0;1;1
607;dibstudent16--2016-10-04--22-55.log-21;1172;0.0428571428571429;6;0;0.0;0;2;2;22;0;0;2;0.0155670965770983;0.0267879103725224;0;821.266;2.86;0.100697418005719;2;0;1;0.448979591836735;24.015;0;0;1
608;dibstudent16--2016-10-04--22-55.log-22;1172;0.0428571428571429;0;0;0.0;0;2;2;23;0;0;2;0;0.0271752294239206;1;846.359;1.078;0.100697418005719;1;1;2;0.469387755102041;9.344;1;0;1
609;dibstudent16--2016-10-04--22-55.log-23;1172;0.0428571428571429;0;0;0.0;0;2;2;24;0;0;2;0;0.0280189548229377;1;856.563;0.86;0.100697418005719;0;1;2;0.489795918367347;192.484;1;0;1
610;dibstudent16--2016-10-04--22-55.log-24;4;0.0285714285714286;4;0;0.0;0.0142857142857143;2;2;25;0;1;2;5.31271997981166e-05;0.0238300857692447;0;1049.094;0.047;0.417514429963863;1;0;1;0.510204081632653;10.484;0;0;1
611;dibstudent16--2016-10-04--22-55.log-25;4;0.0285714285714286;0;0;0.0;0.0142857142857143;2;2;26;1;1;2;0;0.024536982423027;1;1059.625;0.047;0.417514429963863;0;1;2;0.530612244897959;5.828;1;0;1
612;dibstudent16--2016-10-04--22-55.log-26;68;0.0571428571428571;3;0;0.0;0;2;2;27;0;0;2;0;0.0253402158610981;0;1065.5;0.047;0.139328928545121;2;0;1;0.551020408163265;20.469;0;0;1
613;dibstudent16--2016-10-04--22-55.log-27;1240;0.0571428571428571;0;0;0.0;0;2;2;28;0;0;2;0;0.0257585904899284;1;1087.016;1.047;0.103843362411439;1;0.0548387096774194;2;0.571428571428571;13.781;1;0;1
614;dibstudent16--2016-10-04--22-55.log-28;1240;0.0571428571428571;0;0;0.0;0;2;2;29;0;0;2;0;0.0263202557965825;1;1101.813;1.016;0.103843362411439;0;1;2;0.591836734693878;185.609;1;0;1
615;dibstudent16--2016-10-04--22-55.log-29;100;0.0571428571428571;8;8;0.0;0.457142857142857;2;2;30;0;8;2;0;0.0233015319203802;0.0806451612903226;1287.469;0.047;0.153441156083449;8;1;2;0.612244897959184;45.484;0;1;1
616;dibstudent16--2016-10-04--22-55.log-3;4;0.0142857142857143;1;1;0.0;0;1;1;4;0;0;2;0;0.0229021619640894;1;174.656;0.062;0.500766214261815;3;0.5;1;0.0816326530612245;11.75;0;0;1
617;dibstudent16--2016-10-04--22-55.log-30;150;0.0571428571428571;1;0;0.0;0.457142857142857;2;2;31;8;8;3;0;0.0232443748612836;1;1333.656;0.703;0.273406376500588;7;0.666666666666667;2;0.63265306122449;21.172;0;0;1
618;dibstudent16--2016-10-04--22-55.log-31;150;0.0571428571428571;0;0;0.0;0.457142857142857;2;3;32;8;8;3;0;0.023618414982932;1;1354.875;0.047;0.273406376500588;6;1;2;0.653061224489796;8.359;1;0;1
619;dibstudent16--2016-10-04--22-55.log-32;150;0.0571428571428571;0;0;0.0;0.457142857142857;2;3;33;8;8;3;0;0.0242018699978218;1;1363.531;0.297;0.273406376500588;5;1;2;0.673469387755102;4.516;1;0;1
620;dibstudent16--2016-10-04--22-55.log-33;150;0.0571428571428571;0;0;0.0;0.457142857142857;2;3;34;8;8;3;0;0.024851821017185;1;1368.109;0.062;0.273406376500588;4;1;2;0.693877551020408;2.344;1;0;1
621;dibstudent16--2016-10-04--22-55.log-34;150;0.0571428571428571;0;0;0.0;0.457142857142857;2;3;35;8;8;3;0;0.0255352181729041;1;1370.656;0.203;0.273406376500588;3;1;2;0.714285714285714;8.282;1;0;1
622;dibstudent16--2016-10-04--22-55.log-35;150;0.0571428571428571;0;0;0.0;0.457142857142857;2;3;36;8;8;3;0;0.0261061767214123;1;1378.984;0.046;0.273406376500588;2;1;2;0.73469387755102;12.938;1;0;1
623;dibstudent16--2016-10-04--22-55.log-36;150;0.0571428571428571;0;0;0.0;0.457142857142857;2;3;37;8;8;3;0;0.0265807652961528;1;1391.984;0.062;0.273406376500588;1;1;2;0.755102040816326;148.178;1;0;1
624;dibstudent16--2016-10-04--22-55.log-37;150;0.0571428571428571;0;0;0.0;0.457142857142857;2;3;38;8;8;3;0;0.0246714797693866;1;1540.24;0.078;0.273406376500588;0;1;2;0.775510204081633;46.875;1;0;1
625;dibstudent16--2016-10-04--22-55.log-38;108;0.0571428571428571;7;1;1.0;0.0571428571428571;2;3;39;1;1;3;0;0.0245719131691594;0.72;1587.178;0.063;0.239927517291104;4;1;2;0.795918367346939;41.5;0;0;1
626;dibstudent16--2016-10-04--22-55.log-39;108;0.0571428571428571;0;1;0.0;0.0571428571428571;2;3;40;1;1;3;0;0.0245579115460863;1;1628.803;0.125;0.239927517291104;3;1;2;0.816326530612245;11.297;1;0;1
627;dibstudent16--2016-10-04--22-55.log-40;108;0.0571428571428571;0;1;0.0;0.0571428571428571;2;3;41;1;1;3;0;0.0249975307317204;1;1640.162;0.062;0.239927517291104;2;1;2;0.836734693877551;29.61;1;0;1
628;dibstudent16--2016-10-04--22-55.log-41;834;0.0714285714285714;1;3;0.0;0.0571428571428571;3;3;42;1;1;3;0.0100323454387672;0.0251392685550248;0;1670.693;0.921;0.190172064926024;1;0;2;0.857142857142857;75.266;0;1;1
629;dibstudent16--2016-10-04--22-55.log-45;1291;0.0857142857142857;0;1;0.0;0.0571428571428571;3;3;46;1;1;3;0;0.0257887286437091;0.103794822318701;1783.725;0.078;0.168159059500481;2;1;3;0.938775510204082;57.203;1;0;1
630;dibstudent16--2016-10-04--22-55.log-46;854;0.0857142857142857;1;1;0.0;0.0571428571428571;3;2;47;1;1;2;0;0.0255297421496043;0.661502711076685;1840.99;0.062;0.0583117121570847;1;1;3;0.959183673469388;2.344;0;0;0
631;dibstudent16--2016-10-04--22-55.log-47;427;0.0857142857142857;1;0;0.0;0.0571428571428571;3;1;48;1;1;1;0;0.0260331499623333;0.5;1843.803;0.469;0.0753452521259513;0;1;3;0.979591836734694;1.203;0;0;0
632;dibstudent16--2016-10-04--22-55.log-48;437;0.0857142857142857;2;0;0.0;0.0571428571428571;3;0;49;1;1;1;0;0.0265572867775063;0;1845.068;0.062;0.343031591763618;0;0;3;1;0;0;0;0
633;dibstudent16--2016-10-04--22-55.log-5;4;0.0142857142857143;1;1;0.0;0;1;1;6;0;0;2;0;0.0280927810916855;1;213.578;0.094;0.498858253873668;1;0.5;1;0.122448979591837;90.938;0;0;1
634;dibstudent16--2016-10-04--22-55.log-6;6;0.0142857142857143;1;2;0.0;0;1;2;7;0;0;3;0;0.0229826185738957;1;304.578;0.062;0.577509591121305;0;0.666666666666667;1;0.142857142857143;78.063;0;0;1
635;dibstudent16--2016-10-04--22-55.log-7;102;0.0571428571428571;3;13;0.0;0;2;3;8;0;0;3;0;0.02088516552799;0;383.047;0.406;0.240439598910236;10;0;1;0.163265306122449;15.687;0;1;1
636;dibstudent16--2016-10-04--22-55.log-8;102;0.0571428571428571;0;13;0.0;0;2;3;9;0;0;3;0;0.0225652134669194;1;398.844;0.11;0.240439598910236;9;1;2;0.183673469387755;14.844;1;0;1
637;dibstudent16--2016-10-06--22-03.log-1;12;0.0142857142857143;1;8;0.0;0;1;1;2;0;0;2;6.62851587529552e-05;0.128377944669106;1;15.579;0.047;0.28055171465542;4;0.5;1;0.0121212121212121;44.562;0;0;1
638;dibstudent16--2016-10-06--22-03.log-101;9;0.0142857142857143;1;2;0.0;0.0428571428571429;1;2;102;3;3;3;0;0.0171438339091925;1;5949.661;0.094;0.0557632662891792;9;0.666666666666667;1;0.618181818181818;45.203;0;0;1
639;dibstudent16--2016-10-06--22-03.log-102;12;0.0142857142857143;1;2;0.0;0.0428571428571429;1;3;103;3;3;4;3.0147420888143e-05;0.0171811962316132;1;5994.926;0.062;0.0710254314321089;8;0.75;1;0.624242424242424;28.297;0;0;1
640;dibstudent16--2016-10-06--22-03.log-103;9;0.0142857142857143;1;1;0.0;0.0428571428571429;1;3;104;3;3;3;0;0.0172664574658253;0.75;6023.239;0.016;0.0557632662891792;7;1;1;0.63030303030303;37.968;0;0;0
641;dibstudent16--2016-10-06--22-03.log-107;15;0.0142857142857143;1;1;0.0;0.0428571428571429;1;5;108;3;3;5;0;0.0175115332903976;0.833333333333333;6167.364;0.032;0.399033125417929;3;1;1;0.654545454545455;2.89;0;0;0
642;dibstudent16--2016-10-06--22-03.log-108;12;0.0142857142857143;1;1;0.0;0.0428571428571429;1;4;109;3;3;4;0;0.0176652646280951;0.8;6170.301;0.047;0.493193457635009;2;1;1;0.660606060606061;28.078;0;0;0
643;dibstudent16--2016-10-06--22-03.log-110;12;0.0142857142857143;1;0;0.0;0.0428571428571429;1;4;111;3;3;4;0;0.0178764083106939;0.8;6209.301;0.031;0.469194874374039;0;1;1;0.672727272727273;38.297;0;0;0
644;dibstudent16--2016-10-06--22-03.log-112;9;0.0571428571428571;1;1;0.0;0.0428571428571429;2;3;113;3;3;3;0;0.0180511960674591;0.75;6259.973;0.047;0.426837401934758;2;1;2;0.684848484848485;1.578;0;0;0
645;dibstudent16--2016-10-06--22-03.log-113;6;0.0571428571428571;1;1;0.0;0.0428571428571429;2;2;114;3;3;2;0;0.0182063052267907;0.666666666666667;6261.567;0.016;0.0756741903400959;1;1;2;0.690909090909091;1.562;0;0;0
646;dibstudent16--2016-10-06--22-03.log-114;3;0.0571428571428571;1;0;0.0;0.0428571428571429;2;1;115;3;3;1;0;0.0183613354342959;0.5;6263.161;0.032;0.118184837497051;0;1;2;0.696969696969697;1.796;0;0;0
