qid;Metric - Aggregation Depth;Metric - Click Depth;Metric - Click Per Query.;Metric - Consideration time;Metric - Elapsed time;Metric - Execution time;Metric - Filter Depth;Metric - Increase in View Area;Metric - Is Refine;Metric - Is Relax;Metric - Iterative Common Aggregations;Metric - Iterative Common Filters;Metric - Iterative Common Measures;Metric - Iterative Distance;Metric - Iterative Identity;Metric - Iterative Precision;Metric - Iterative Recall;Metric - Number of aggregations;Metric - Number of Filters;Metric - Number of measures;Metric - Query frequency;Metric - Relative Query Position (RQP)...;Metric - Relevant New Information;Metric Number of queries...;Nb of cells;label
dibstudent16--2016-10-06--22-03.log-40;0.0857142857142857;14;1;79.985;2800.924;0.125;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0146380265940811;0.248484848484848;0.0937097056036753;41;57;1
dibstudent16--2016-10-06--22-03.log-41;0.0857142857142857;13;1;11.766;2881.002;0.093;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0145782613132514;0.254545454545455;0.0937097056036753;42;57;1
dibstudent16--2016-10-06--22-03.log-42;0.0857142857142857;12;1;16.969;2892.846;0.078;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0148642547857715;0.260606060606061;0.0937097056036753;43;57;1
dibstudent16--2016-10-06--22-03.log-43;0.0857142857142857;11;1;4.484;2909.862;0.047;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0151209919920601;0.266666666666667;0.0937097056036753;44;57;1
dibstudent16--2016-10-06--22-03.log-44;0.0857142857142857;10;1;3.781;2914.456;0.11;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0154402742741699;0.272727272727273;0.0937097056036753;45;57;1
dibstudent16--2016-10-06--22-03.log-45;0.0857142857142857;9;1;3.39;2918.284;0.047;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0157626879357869;0.278787878787879;0.0937097056036753;46;57;1
dibstudent16--2016-10-06--22-03.log-46;0.0857142857142857;8;1;3.5;2921.706;0.032;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0160864919331377;0.284848484848485;0.0937097056036753;47;57;1
dibstudent16--2016-10-06--22-03.log-47;0.0857142857142857;7;1;1.796;2925.331;0.125;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0164083995964901;0.290909090909091;0.0937097056036753;48;57;1
dibstudent16--2016-10-06--22-03.log-48;0.0857142857142857;6;1;32.531;2927.221;0.094;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0167394262339605;0.296969696969697;0.0937097056036753;49;57;1
dibstudent16--2016-10-06--22-03.log-49;0.0857142857142857;5;1;6.422;2959.784;0.032;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0168931246334192;0.303030303030303;0.0937097056036753;50;57;1
dibstudent16--2016-10-06--22-03.log-5;0.0142857142857143;0;5;3.219;798.069;0.031;0;0;0;1.0;1;0;3;1;0;0;0;1;0;3;0.0075181469271454;0.0363636363636364;0.341865390254818;6;18;1
dibstudent16--2016-10-06--22-03.log-50;0.0857142857142857;4;1;3.782;2966.252;0.046;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0171934144502895;0.309090909090909;0.0937097056036753;51;57;1
dibstudent16--2016-10-06--22-03.log-51;0.0857142857142857;3;1;3.109;2970.065;0.031;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0175080343359489;0.315151515151515;0.0937097056036753;52;57;1
dibstudent16--2016-10-06--22-03.log-52;0.0857142857142857;2;1;13.891;2973.19;0.016;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0178259714313582;0.321212121212121;0.0937097056036753;53;57;1
dibstudent16--2016-10-06--22-03.log-53;0.0857142857142857;1;1;27.078;2987.206;0.125;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0180770927749877;0.327272727272727;0.0937097056036753;54;57;1
dibstudent16--2016-10-06--22-03.log-58;0.0857142857142857;2;2;11.578;3881.852;0.062;0.0142857142857143;0;0;0.0;3;1;1;0;1;1;1;3;1;1;0.0151989308196191;0.357575757575758;0.109327824863038;59;485;1
dibstudent16--2016-10-06--22-03.log-59;0.0857142857142857;1;0;30.985;3900.555;7.125;0.0285714285714286;0;1;0.0;3;1;1;1;0;0.535320088300221;1;3;2;1;0.0153824263470198;0.363636363636364;0.0925149911625155;60;906;1
dibstudent16--2016-10-06--22-03.log-6;0.0571428571428571;3;0;23.344;801.553;0.265;0;0.00224818161780913;1;0.0;1;0;3;3;0;0;0;2;0;3;0.00873304697256451;0.0424242424242424;0.191801331217648;7;306;1
dibstudent16--2016-10-06--22-03.log-60;0.0857142857142857;0;0;18.516;3933.399;1.859;0.0285714285714286;0;0;0.0;3;2;1;0;1;1;1;3;2;1;0.0155082156679249;0.36969696969697;0.0925149911625155;61;906;1
dibstudent16--2016-10-06--22-03.log-61;0.0857142857142857;0;0;298.813;3954.758;2.843;0.0142857142857143;0;0;0.0;3;0;1;3;0;0;0;3;1;1;0.0156773183087309;0.375757575757576;0.201009804686016;62;481;1
dibstudent16--2016-10-06--22-03.log-62;0.0857142857142857;1;0;16.891;4262.102;8.531;0.0428571428571429;0;1;0.0;3;1;1;2;0;0.318543046357616;1;3;3;1;0.0147814388299482;0.381818181818182;0.18302176754889;63;1510;1
dibstudent16--2016-10-06--22-03.log-63;0.0857142857142857;0;0;40.266;4279.18;0.187;0.0428571428571429;0;0;0.0;3;3;1;0;1;1;1;3;3;1;0.01495613645605;0.387878787878788;0.18302176754889;64;1510;1
dibstudent16--2016-10-06--22-03.log-64;0.0857142857142857;2;0;22.344;4319.602;0.156;0.1;0;1;0.0;3;3;1;2;0;1;0.192715231788079;3;5;1;0.0150476826337241;0.393939393939394;0.149424537706695;65;291;1
dibstudent16--2016-10-06--22-03.log-65;0.0857142857142857;1;0;2.812;4343.274;1.328;0.1;0;0;0.0;3;5;1;0;1;1;1;3;5;1;0.0151959098136567;0.4;0.149424537706695;66;291;1
dibstudent16--2016-10-06--22-03.log-66;0.0857142857142857;0;0;60.703;4346.368;0.282;0.1;0;0;0.0;3;5;1;0;1;1;1;3;5;1;0.0154151696312875;0.406060606060606;0.149424537706695;67;291;1
dibstudent16--2016-10-06--22-03.log-67;0.0857142857142857;2;1;280.818;4407.196;0.125;0.1;0;0;0.0;3;4;1;2;0;0.76875;0.422680412371134;3;5;1;0.0154293115168919;0.412121212121212;0.162775497434008;68;160;1
dibstudent16--2016-10-06--22-03.log-68;0.0857142857142857;1;1;33.782;4688.045;0.031;0.1;0;0;0.0;3;5;1;0;1;1;1;3;5;1;0.0147182887536276;0.418181818181818;0.162775497434008;69;160;1
dibstudent16--2016-10-06--22-03.log-69;0.0857142857142857;0;0;191.062;4721.858;0.031;0.128571428571429;0;1;0.0;3;5;1;1;0;0.191387559808612;1;3;6;1;0.0148246728300597;0.424242424242424;0.154781958876028;70;836;1
dibstudent16--2016-10-06--22-03.log-7;0.0571428571428571;2;0;1.703;825.053;0.156;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.00969634678014625;0.0484848484848485;0.191801331217648;8;306;1
dibstudent16--2016-10-06--22-03.log-71;0.1;2;1;289.428;4949.389;0.531;0.128571428571429;0.0105222582224676;1;0.0;2;6;1;4;0;0;0;3;6;1;0.0145472501757288;0.436363636363636;0.250938909411226;72;1010;1
dibstudent16--2016-10-06--22-03.log-72;0.1;1;4;13.531;5239.286;0.469;0.128571428571429;0.0103820854898241;0;0.0;3;6;1;1;0;0.500743678730788;1;3;6;2;0.0139331962408618;0.442424242424242;0.165461242261128;73;2017;1
dibstudent16--2016-10-06--22-03.log-73;0.1;0;0;43.219;5252.895;0.078;0.128571428571429;0;0;0.0;3;6;1;1;0;1;0.499256321269212;3;6;1;0.0140874698618571;0.448484848484848;0.133587892132924;74;1007;0
dibstudent16--2016-10-06--22-03.log-74;0.1;0;0;17.141;5296.145;0.031;0.128571428571429;0;0;0.0;3;6;0;2;0;0;0;3;6;1;0.0141612436970665;0.454545454545455;0.250938909411226;75;1010;0
dibstudent16--2016-10-06--22-03.log-78;0.1;0;0;22.14;5406.114;0.016;0.128571428571429;0;0;0.0;3;6;0;2;0;0;0;3;6;1;0.0146130843707698;0.478787878787879;0.250938909411226;79;1010;0
dibstudent16--2016-10-06--22-03.log-79;0.1;0;0;9.14;5428.567;0.313;0.128571428571429;0.00844313804986823;0;0.0;3;6;0;2;0;0;0;3;6;1;0.0147368541274336;0.484848484848485;0.165599837910317;80;833;0
dibstudent16--2016-10-06--22-03.log-8;0.0571428571428571;1;0;6.719;826.897;0.141;0;0;0;0.0;2;0;3;0;1;1;1;2;0;3;0.0108840641579302;0.0545454545454545;0.191801331217648;9;306;1
